username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
VEGvorous,@vegvorous,2021-08-07T05:51:53.000Z,"'If you really think the environment is less important than economy, try holding your breath while you count your money.'

#VEGvorous
#vegan #veganizm #veganism #veganol #govegan  #plantbased #bitkiselbeslenme #iklimkrizi #climatechange #ormansızlaşma #çevre #orman #ağaç #doğa",,,5,16,"['VEGvorous', 'vegan', 'veganizm', 'veganism', 'veganol', 'govegan', 'plantbased', 'bitkiselbeslenme', 'iklimkrizi', 'climatechange', 'ormansızlaşma', 'çevre', 'orman', 'ağaç', 'doğa']"
CALL for CHAPTER,@callforchapter,2021-08-08T14:32:26.000Z,"This book contains theoretical and empirical researches written by academicians and researches in the field of environment and sustainability. #CallforChapter #KitapBölümüDaveti 

https://peterlang.com/abstract/title/69642?rskey=MHq9dq&result=1…
@DariciBurak
 @DrTuncDurmaz
 @seymasahinkutlu
 @halimtatli
 @PeterLangGroup",,1,1,9,"['CallforChapter', 'KitapBölümüDaveti']"
CALL for CHAPTER,@callforchapter,2021-08-08T14:32:26.000Z,"In the contributions, the macro dimensions of environmental pollution such as economic growth, health sector and technological development are examined. #Sustainability #Environment #CallforChapter #Economics  #Sürdürülebilirlik #Çevre #KitapBölümüDaveti #Ekonomi",,1,,3,"['Sustainability', 'Environment', 'CallforChapter', 'Economics', 'Sürdürülebilirlik', 'Çevre', 'KitapBölümüDaveti', 'Ekonomi']"
Laki Vingas,@lakivingas,2021-08-07T07:42:12.000Z,"Alevin rengi aynı, yangının verdiği tahribat’http://ta.Ne ilk ne de son olacak.Her yaz aynı hüznü ve çaresizliği yaşıyoruz.
Ortak bir ekosistemi paylaşan Türkiye ve Yunanistanın bu tehdite teslim olmak yerine ortak çözümler ve önlemler geliştirebilirler. #çevre #yaşam",,6,25,138,"['çevre', 'yaşam']"
Mustafa Saraç,@ak_sarac,2021-08-10T19:12:56.000Z,"#Zonguldak #Gökçebey süzek #kanyonu. 
Doğa hayattır fark ettiginde..
Çevremizi temiz tutalım 
#çevre",,,5,61,"['Zonguldak', 'Gökçebey', 'kanyonu', 'çevre']"
istanbul postası,@KentPostasi,2021-08-06T05:33:14.000Z,#çevre #para #nefes,,,1,2,"['çevre', 'para', 'nefes']"
Düzce Üniversitesi,@duzceuniversite,2021-08-06T13:47:56.000Z,"Rektörümüz Prof. Dr. Nigar Demircan Çakar, 7 Ağustos Cumartesi (yarın) saatler 09.40'u gösterdiğinde Cem Seymen'in hazırlayıp sunduğu ""Çalışan Türkiye"" programına konuk oluyor. #DüzceÜniversitesi #çevre #sağlık #ihtisaslaşma",Nigar Demircan Çakar and 2 others,,5,25,"['DüzceÜniversitesi', 'çevre', 'sağlık', 'ihtisaslaşma']"
Melek Furtına Aral,@aralmelek,2021-08-08T13:52:17.000Z,"#doğa #yangın #avcılık 
#çevre #Manavgat #doğa #OrmanınKahramanları #ormanlarımızasahipcık",,1,32,45,"['doğa', 'yangın', 'avcılık', 'çevre', 'Manavgat', 'doğa', 'OrmanınKahramanları', 'ormanlarımızasahipcık']"
Antalya Gönüllüleri,@GonulluAntalya,2021-08-06T11:48:00.000Z,"Bugün saat 18.30-20.30 arasında Adliye ile Jandarma İl Komutanlığı arasındaki alanı temizliyor olacağız.
İlgilenenler DM'den iletişime geçebilir.
#çevre #Antalya 
@letsdoitturkey",,1,,1,"['çevre', 'Antalya']"
İBB Fen İşleri,@ibbfenisleri,2021-08-06T21:21:21.000Z,"Daire Başkanımız Recep KORKUT ve Yapı İşleri Müdürümüz Hakan GENÇ ,Başkanlığımız teknik heyetiyle birlikte yapımı devam eden #Beyazıt Meydan Düzenleme inşaatını yerinde inceledi.

#birliktebaşaracağız #ibbfen #yerindeinceleme #meydan #tarih #çevre",Hakan GENÇ ,,2,11,"['Beyazıt', 'birliktebaşaracağız', 'ibbfen', 'yerindeinceleme', 'meydan', 'tarih', 'çevre']"
