username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Sigortacı Sigorta Didim Şubesi,@sigortaci_didim,2021-08-12T14:21:49.000Z,"#didim #didimde #sigorta #akbük #altınkum #didyma #mavişehir #söke #sigortacı #aydın #trafiksigortası #kasko #dask

Ofis: 0 256 811 00 26",,,,,"['didim', 'didimde', 'sigorta', 'akbük', 'altınkum', 'didyma', 'mavişehir', 'söke', 'sigortacı', 'aydın', 'trafiksigortası', 'kasko', 'dask']"
Seguro Sigorta,@segurosigorta,2021-08-12T04:42:09.000Z,"Yola çıkmadan kasko sigortası yaptırın aracınızda meydana gelebilecek olumsuzluklara karşı gardınızı alın, keyifli bir yolculuğun keyfini sürün! Seguro Sigorta olarak, sigorta kapsamında aracınızı koruyor; sizlere yardım edebilmek için hazırda bekliyoruz. 
#sigorta  #kasko",,,,1,"['sigorta', 'kasko']"
Atom Sigorta Ltd. Şti.,@atomsigorta,2021-08-12T14:21:03.000Z,"Bütçe ve ihtiyaçlarınıza uygun paketler ile Kasko ve Trafik Sigortanızı yaptırın, yola huzurla çıkın.  

#TrafikSigortası 
#Kasko
#KaskoSigortası",,,,3,"['TrafikSigortası', 'Kasko', 'KaskoSigortası']"
Olimpia Oto Cam | Auto Glass,@olimpiaofficial,2021-08-11T06:31:50.000Z,"Güvenli ve keyifli karavan seyahatlerinizde Olimpia Oto Camları farkını hissedin.

#Olimpia #OlimpiaOtoCam #GüvenVerenKalite #OlimpiaileGüvendesin #OtoCam #Cam #Oto #Sigorta #Hasar #Kasko #Karavan",,,,5,"['Olimpia', 'OlimpiaOtoCam', 'GüvenVerenKalite', 'OlimpiaileGüvendesin', 'OtoCam', 'Cam', 'Oto', 'Sigorta', 'Hasar', 'Kasko', 'Karavan']"
İMG Danışmanlık A.Ş,@imghasarcom,2021-08-13T06:56:46.000Z,"Türkiye'nin her yerinde mağduriyetinizi gidermek için yanındayız.

#türkiye #Aktüerya #medikal #tedavi #araç #araba #kamyon #tır #sigorta #kasko #trafik #dask #kaza #araç #araba #trafiksigorta #trafik #sigortaacentesi #trafikkazası #işkazası",,,2,5,"['türkiye', 'Aktüerya', 'medikal', 'tedavi', 'araç', 'araba', 'kamyon', 'tır', 'sigorta', 'kasko', 'trafik', 'dask', 'kaza', 'araç', 'araba', 'trafiksigorta', 'trafik', 'sigortaacentesi', 'trafikkazası', 'işkazası']"
Doğa Sigorta,@dogasigorta,2021-08-12T14:52:15.000Z,"Aracınız her an bir uyarı verebilir. Mesela, yolunuzda giderken size Kasko Sigortası yaptırıp yaptırmadığınızı sorabilir! 

Şaşırmayın, aracınız sadece size doğru yolu göstermeye devam ediyor! 

#DoğaSigorta #GüvenDoğasındaVar #Kasko #Sigorta",,,2,5,"['DoğaSigorta', 'GüvenDoğasındaVar', 'Kasko', 'Sigorta']"
ABDULLAH OZCAN,@SOSYETESIGORTA,2021-08-09T14:11:02.000Z,Ana Kaskonun avantajlı özellikleri ile aracınız bizimle güvende. Hemen en yakın acentemizden bilgi alabilirsiniz. #anasigorta #kasko,,,1,4,"['anasigorta', 'kasko']"
TMV Deutschland,@TmvDeutschland,2021-08-05T10:41:59.000Z,"#Kasko zahlt auch für abgesoffene #Taxis. Die #Teilkaskoversicherung deckt außer #Hagel- und bestimmten #Sturmschäden auch solche ab, die durch #Überschwemmungen verursacht worden sind.","Kasko zahlt auch für abgesoffene Taxis
Die Teilkaskoversicherung deckt außer Hagel- und bestimmten Sturmschäden auch solche ab, die durch Überschwemmungen verursacht worden sind.
taxi-heute.de",,,,"['Kasko', 'Taxis', 'Teilkaskoversicherung', 'Hagel', 'Sturmschäden', 'Überschwemmungen']"
Tatjana Alanne,@tatjaalanne,2021-08-12T15:24:50.000Z,Helsingin pormestarit unohtivat ammatilliset opettajat videotervehdyksessään. Kiitos ny tästäki  #Helsinki #pormestari #pormestarit #KasvatusJaKoulutus #Kasko,,,,1,"['Helsinki', 'pormestari', 'pormestarit', 'KasvatusJaKoulutus', 'Kasko']"
Av. Filiz EROL,@AvFilizErol,2021-08-09T10:09:13.000Z,"""Sigorta şirketinin davadan önce yaptığı ödemeler ibranamede yer almıyorsa, ibranameye dayanılarark davanın reddine karar verilemez.""

#YargıtayKararları #sigorta #trafiksigortası #trafikkazası #kasko #hukuk #law #lawyer #AnkaraAvukat #manevitazminat  #karayollartrafikkanunu",,,,1,"['YargıtayKararları', 'sigorta', 'trafiksigortası', 'trafikkazası', 'kasko', 'hukuk', 'law', 'lawyer', 'AnkaraAvukat', 'manevitazminat', 'karayollartrafikkanunu']"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-08-06T07:40:02.000Z,"Bize sormadan  sigorta yaptırmayınız! En uygun fiyatlarla teklifinizi alınız.
#kasko #bes #trafik #sigorta #gaziantep #şahinbey #şehitkamil #sağlık #dask #inşaat #ferdikaza #nakliyat #tarım #işyeri #tarım #konut #seyahat #cepkasko",,,,,"['kasko', 'bes', 'trafik', 'sigorta', 'gaziantep', 'şahinbey', 'şehitkamil', 'sağlık', 'dask', 'inşaat', 'ferdikaza', 'nakliyat', 'tarım', 'işyeri', 'tarım', 'konut', 'seyahat', 'cepkasko']"
ANA SİGORTA,@anasigorta,2021-08-09T13:57:14.000Z,"Ana Kaskonun avantajlı özellikleri ile aracınız bizimle güvende. Hemen en yakın acentemizden bilgi alabilirsiniz. #anasigorta #kasko
http://bit.ly/3vQPpub",,,3,3,"['anasigorta', 'kasko']"
Sigortacı Sigorta Didim Şubesi,@sigortaci_didim,2021-08-12T13:00:56.000Z,"Sigorta işlemleriniz için en uygun fiyatları bulabileceğiniz adres: Sigortacı Sigorta Didim Şubesi 
0 506 342 89 48
0 256 811 00 26
#didim #didimde #sigorta #akbük #altınkum #didyma #mavişehir #söke #sigortacı #aydın #trafiksigortası #kasko #dask",,,,,"['didim', 'didimde', 'sigorta', 'akbük', 'altınkum', 'didyma', 'mavişehir', 'söke', 'sigortacı', 'aydın', 'trafiksigortası', 'kasko', 'dask']"
Gülşah Çamur,@glshcamur,2021-08-07T00:09:26.000Z,"#sigorta #acente #guvence #sigortagerekli #sağlıksigortası #sigortaacentesi #konutsigortası #isyerisigortası #dask #trafik #kasko
#Insurance #insurer #underwriter #insurancebroker @ Bakırköy - İncirli https://instagram.com/p/CSQKaUBjp1h/?utm_medium=twitter…",,,,,"['sigorta', 'acente', 'guvence', 'sigortagerekli', 'sağlıksigortası', 'sigortaacentesi', 'konutsigortası', 'isyerisigortası', 'dask', 'trafik', 'kasko', 'Insurance', 'insurer', 'underwriter', 'insurancebroker']"
tersimatçı,@AngaralGezgin,2021-08-12T16:04:08.000Z,#Kasko yaptırılmış arabaya trafik sigortası yapılması kadar saçma bir durum yok. Kaskolau araçta trafik #sigortası kalksın,,,,,"['Kasko', 'sigortası']"
İMG Danışmanlık A.Ş,@imghasarcom,2021-08-10T06:53:53.000Z,"İMG hizmetlerimiz:

#Aktüerya #medikal #terör #yaralanma #sakatlanma #işkazası #tedavi #araç #araba #kamyon  #tır #sigorta #kasko #trafik #dask #kaza #araç #araba  #trafiksigorta #trafik #sigortaacentesi #trafikkazası #işkazası",,,8,14,"['Aktüerya', 'medikal', 'terör', 'yaralanma', 'sakatlanma', 'işkazası', 'tedavi', 'araç', 'araba', 'kamyon', 'tır', 'sigorta', 'kasko', 'trafik', 'dask', 'kaza', 'araç', 'araba', 'trafiksigorta', 'trafik', 'sigortaacentesi', 'trafikkazası', 'işkazası']"
İnci Sigorta,@incisigorta,2021-08-10T16:44:27.000Z,"İhtiyaç duyduğunuz her anda İnci Sigorta yanınızda.

0232 425 48 13 
http://incisigorta.com
#İnciSigorta #sağlıksigortası #kasko #trafik #sigorta #poliçe #işyeri #konutsigortası #dask #ferdikaza #teminat",,,1,,"['İnciSigorta', 'sağlıksigortası', 'kasko', 'trafik', 'sigorta', 'poliçe', 'işyeri', 'konutsigortası', 'dask', 'ferdikaza', 'teminat']"
KONYA SİGORTA,@KonyaSigorta,2021-08-07T16:58:23.000Z,"Riskiniz İçin Konya Sigorta'yı Seçin!

#konya #sigorta #konyasigorta #trafiksigortası #kasko #dask #konutsigortası #depremsigortası #acente #konyadask #ucuzsigorta #uygunsigorta #sigorta
#enucuzsigorta #araçsigortası #trafik #işyerisigortası #enucuztrafiksigorta #kaskoteklif",,,,,"['konya', 'sigorta', 'konyasigorta', 'trafiksigortası', 'kasko', 'dask', 'konutsigortası', 'depremsigortası', 'acente', 'konyadask', 'ucuzsigorta', 'uygunsigorta', 'sigorta', 'enucuzsigorta', 'araçsigortası', 'trafik', 'işyerisigortası', 'enucuztrafiksigorta', 'kaskoteklif']"
HK,@hrock_hrock,2021-08-10T12:05:11.000Z,"Yaptığı hatayı ödemeyen Anadolu Sigorta 3 haftadır yaptığı savunuyor. Kasko sigorta yaptırmayın bunlardan  
@Anadolu_Sigorta
 #kasko #sigorta",,,,,"['kasko', 'sigorta']"
Koru Sigorta,@korusigorta,2021-08-09T09:03:28.000Z,"Siz de Koru Sigorta’dan kaskonuzu yaptırın, mini onarım paketi kapsamında ücretsiz temizlik, bakım ve tamir hizmetlerinden yararlanın. 
Detaylı bilgi Koru Sigorta acenteleri ve 7/24 aktif çağrı merkezimizde.
0850 340 34 34
#korusigorta #kasko #araçkasko #sigorta #minionarım",,1,,3,"['korusigorta', 'kasko', 'araçkasko', 'sigorta', 'minionarım']"
Sigortacı Sigorta Didim Şubesi,@sigortaci_didim,2021-08-09T06:55:16.000Z,#didim #didimde #sigorta #akbük #altınkum #didyma #mavişehir #söke #sigortacı #aydın #trafiksigortası #kasko #dask #didim,,,,,"['didim', 'didimde', 'sigorta', 'akbük', 'altınkum', 'didyma', 'mavişehir', 'söke', 'sigortacı', 'aydın', 'trafiksigortası', 'kasko', 'dask', 'didim']"
Dogan Altiok,@13sovalye,2021-08-08T15:07:27.000Z,#trafikkazası #degerkaybi #hasarfarki #gündem #haberler #sigortaacentesi #alternetifonarim #pert #agırhasar #ekonomi #hasartakipcisi #kaportaci #turkiye #hasar #otomobil #sigorta #kasko #yansanayi #orijinalparça #araç #hasaronarimmerkezi #anlaşmaliservis #GuendemOEtesi,,,,,"['trafikkazası', 'degerkaybi', 'hasarfarki', 'gündem', 'haberler', 'sigortaacentesi', 'alternetifonarim', 'pert', 'agırhasar', 'ekonomi', 'hasartakipcisi', 'kaportaci', 'turkiye', 'hasar', 'otomobil', 'sigorta', 'kasko', 'yansanayi', 'orijinalparça', 'araç', 'hasaronarimmerkezi', 'anlaşmaliservis', 'GuendemOEtesi']"
