username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Milas Gençlik Merkezi,@GSB_MilasGM,2021-08-11T18:02:18.000Z,"Belki de son zamanlarda en çok sevgiye muhtaç olanlardı onlar. 

Gittiğimiz köylerde karşımıza çıkan sokak hayvanlarını sevmeden geçemedik.

#SokakHayvanları
#GençlikMerkezleri
#GSBGM",Dr. Mehmet Kasapoğlu and 9 others,,4,22,"['SokakHayvanları', 'GençlikMerkezleri', 'GSBGM']"
Düzce Belediyesi,@duzcebld,2021-08-06T15:00:21.000Z,"Sokakta bizlere ihtiyacı olan canlarımızı unutmayalım.

Sıcaktan bunalan dostlarımız için; bir kap su ve bir kap mama 

#SokakHayvanları",,,2,11,['SokakHayvanları']
Buocoin,@Buocoinnews,2021-08-09T11:32:09.000Z,"Onlar bizim dostlarımız ve onlar için yapılan her iyiliğin karşılığı mutlaka vardır.
Ve biz onlara çok fazla iyilik yapmak için her zaman daha çok çalışacağız.

#sokakhayvanlari #sokakkopekleri #sokakkadileri #sendeumutol #exchange #dextrade",,,4,12,"['sokakhayvanlari', 'sokakkopekleri', 'sokakkadileri', 'sendeumutol', 'exchange', 'dextrade']"
Aksa Gemlik Doğalgaz,@Aksa_Gemlik,2021-08-07T09:49:44.000Z,"Sokaklarda yaşayan minik dostlarımızın bu sıcak günlerde su bulmaları çok zor kapınızın önüne koyacağınız bir kap su ile onların hayatta kalmalarına yardımcı olabilirsiniz.

#birkapsu
#Sokakhayvanları
#Aksadogalgaz",,,,11,"['birkapsu', 'Sokakhayvanları', 'Aksadogalgaz']"
myvalue_,@KymetOzaslan,2021-08-12T08:07:04.000Z, #SokakHayvanları,,,,,['SokakHayvanları']
Koluman,@kolumanofficial,2021-08-07T12:00:55.000Z,"Havalar çok sıcak! Minik dostlarımız için kapınızın önüne bir kap su koymayı unutmayın.
#Koluman #sokakhayvanları #birkapsu",,,,3,"['Koluman', 'sokakhayvanları', 'birkapsu']"
zafer,@JokReyiz,2021-08-11T18:43:04.000Z,"Bu çocuğun tek gözü alındı. Ona yuva arıyorum.  Kütahya Eskişehir Bozüyük Afyon bizzat getirip teslim edebilirim.
Tedavi videosu Youtube Zafer Yaşamış kanalımda mevcuttur. #eceuner #bartin #Kastamonusel #VatanEldenGidiyor #suriyelileriistemiyoruz #sokakhayvanları",,,1,2,"['eceuner', 'bartin', 'Kastamonusel', 'VatanEldenGidiyor', 'suriyelileriistemiyoruz', 'sokakhayvanları']"
SokakMelekleri06,@SokakMelekler06,2021-08-10T17:26:20.000Z,#mamadesteği #sokakhayvanları #köpek #kedi,,,,,"['mamadesteği', 'sokakhayvanları', 'köpek', 'kedi']"
Pati Dosları Ünye,@Patidostunye,2021-08-08T16:34:20.000Z,#sokakhayvanları #ünye #ordu #pati #patidostları #birkapmamabirkapsu #birpatidesenver #mamadesteği #dogsofinstagram #puppy #puppylove #satınalmasahiplen,,,,40,"['sokakhayvanları', 'ünye', 'ordu', 'pati', 'patidostları', 'birkapmamabirkapsu', 'birpatidesenver', 'mamadesteği', 'dogsofinstagram', 'puppy', 'puppylove', 'satınalmasahiplen']"
Sıcak Bir Yuva,@plastikyuva,2021-08-10T09:57:10.000Z,"Atık plastikleri onların yaşam alanlarına dönüştürelim.

#yuvayadönüşenplastikler #geridönüşüm #plastikyuva #plastik #plastic #sıfıratık #zerowaste #recyle #ecofriendly #greenliving #doğa #nature #sustainable #sürdürülebilirlik #sustainableliving #environment #sokakhayvanları",,,,1,"['yuvayadönüşenplastikler', 'geridönüşüm', 'plastikyuva', 'plastik', 'plastic', 'sıfıratık', 'zerowaste', 'recyle', 'ecofriendly', 'greenliving', 'doğa', 'nature', 'sustainable', 'sürdürülebilirlik', 'sustainableliving', 'environment', 'sokakhayvanları']"
