username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
coven raine | caity boo,@caitlyn_meow,2021-08-07T18:03:19.000Z,"confirmed kahri fishnet girlfriends 
.
#KDA #KDAAhri #KDAKaisa #Kahramanmaras",,,2,6,"['KDA', 'KDAAhri', 'KDAKaisa', 'Kahramanmaras']"
Dilara Badak,@BadakDilara,2021-08-10T21:20:11.000Z,êſčòrțſ    Imagination is more important than knowledge. #kahramanmaraş #afşin,"EDA
@RahimekzKoyuncu
 · Aug 10",,2,2,"['kahramanmaraş', 'afşin']"
Başak,@Baak79934863,2021-08-10T00:18:04.000Z,"êſčòrțſ    He who opens a school door, closes a prison. #kahramanmaraş #afşin","F.Maulidiyah
@BurcukzBilen
 · Aug 7",,1,1,"['kahramanmaraş', 'afşin']"
Alçin Ersöz,@AlcinErsoz,2021-08-05T21:15:25.000Z,êſčòrțſ    Try to be a rainbow in someone’s cloud. #kahramanmaraş #afşin,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['kahramanmaraş', 'afşin']"
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
Dulkadiroğlu Belediyesi,@BelDulkadiroglu,2021-08-10T08:07:38.000Z,"Fen İşleri Müdürlüğüne bağlı ekiplerimizce İstasyon Mahallemizde asfalt çalışmalarımız devam etmektedir. 
.
.
.
#Kahramanmaraş #Dulkadiroğlu #DeğişenveGelişenDulkadiroğlu",,5,496,668,"['Kahramanmaraş', 'Dulkadiroğlu', 'DeğişenveGelişenDulkadiroğlu']"
Yaprak,@OzdoganYaprak,2021-08-12T15:09:53.000Z,"Haran dönebilir senden geriye kalan.
#kahramanmaras",,1,,3,['kahramanmaras']
AK Parti Kahramanmaraş,@AkKahramanmaras,2021-08-07T19:23:01.000Z,"1 Milyar TL’lik İller Bankası - AB Hibe Kredi anlaşması Cumhurbaşkanlığı Kararnamesi ile onaylandı. #Kahramanmaraş’ımıza hayırlı olsun. 

Cumhurbaşkanımız Sn. 
@RTErdogan
’a kahraman hemşehrilerimiz adına teşekkür ediyoruz.",Mahir Ünal  and 9 others,,22,97,['Kahramanmaraş']
Nilgünn,@ElmacGzeli4,2021-08-05T17:21:27.000Z,#Kahramanmaraş,,,,5,['Kahramanmaraş']
AK Parti Afşin,@AKParti_Afsin,2021-08-11T16:33:08.000Z,"AK Parti Kahramanmaraş Milletvekimiz Sayın 
@mcihatsezal
, Afşin İlçe Başkanlığımızı Ziyaret Ederek, Yönetim Kurulu Üyelerimizle Bir Araya Geldi.
#Afşin 
#Kahramanmaraş
#Hedef2023",,,9,21,"['Afşin', 'Kahramanmaraş', 'Hedef2023']"
Onur Şahin,@Onursahinn99,2021-08-05T17:54:19.000Z,#Kahramanmaras,,,,1,['Kahramanmaras']
Bahar özdemir,@baharozdemir01,2021-08-06T07:45:37.000Z,"Kimseyi kontrol edemezsiniz, sadakat içten gelir êſčòrțſ
#kahramanmaraş",,,,1,['kahramanmaraş']
Sultanflix,@sariciceksltn_,2021-08-05T16:51:09.000Z,"Ağustosta bunu çekeceğim aklıma gelmezdi.
#Kahramanmaraş",,,1,16,['Kahramanmaraş']
ayşenur,@Ayenur01201150,2021-08-05T12:23:58.000Z,"Ne senle yaşanıyor ne de sensiz oluyor.
#kahramanmaraş",,2,,1,['kahramanmaraş']
Kevser Özen,@ozens2,2021-08-13T08:30:13.000Z,"Rüzgârrr esiyooooooorrrr sjdjsjd
#Kahramanmaras ",,1,,13,['Kahramanmaras']
ÖĞ-DER Kahramanmaraş Şubesi,@ogdermaras,2021-08-11T13:20:52.000Z,"""En güzel nasihat; örnek olmaktır.""
Malcolm X

#Kahramanmaraş #Öğder #Şuur #Öğretmen #Öğüt #Örnek #Ahlak",,,2,7,"['Kahramanmaraş', 'Öğder', 'Şuur', 'Öğretmen', 'Öğüt', 'Örnek', 'Ahlak']"
Ebru,@EbruGlbahar2,2021-08-09T12:09:01.000Z,"Seninle ilk defa seviyorum ben sana.
#kahramanmaras",,,,2,['kahramanmaras']
Aksu Tv,@aksutv,2021-08-12T05:33:41.000Z," Tarih'te Bugün | 12 Ağustos 2021

#Kahramanmaraş #TarihteBugün",,,,1,"['Kahramanmaraş', 'TarihteBugün']"
Gökhan BİNİCİ,@gokhanbinici82,2021-08-08T20:18:31.000Z,"#HicriYılbası Muharrem ayının başlangıcı ve Hicri yılbaşı olan bu müstesna günde,Allah’tan tüm insanlığa sağlık,huzur ve barış getirmesini diliyorum. #Kahramanmaraş",,,,2,"['HicriYılbası', 'Kahramanmaraş']"
E. Gökhan MİRZAOĞLU,@egmirz,2021-08-11T20:48:57.000Z,"Yıl 2014 Kahramanmaraş'da Suriyeli istemiyoruz diye gösteri yapıldı o zamanın başbakanı Erdoğan Kahramanmaraş' a ""nasipsizler"" dedi Kahramanmaraş ne yaptı en çok oy veren illerden olduartık umursamıyorum ne olacaksa olsun  #altındağ #Kahramanmaras",,,1,2,"['altındağ', 'Kahramanmaras']"
