username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Şerife Esmeray,@oriserife,2019-10-16T11:03:02.000Z,#ayakbakımı #ayak #ayakkremi @ Turkey https://instagram.com/p/B3rTxHtn9SW/?igshid=pnddqksecjko…,,,,,"['ayakbakımı', 'ayak', 'ayakkremi']"
SEHER GÜRBÜZ,@sehergurbuz,2021-01-29T21:25:52.000Z,#farmasi #kayaşehi̇r #başakşehir #mr.wipes #temizlik #doğadostu #hediye #indirim #çayağacı #rolon #ayakbakımı #spirulina #nutriplus https://instagram.com/p/CKpNc35s-Qs/?igshid=1usrth2ef8385…,,,,,"['farmasi', 'kayaşehi', 'başakşehir', 'mr', 'temizlik', 'doğadostu', 'hediye', 'indirim', 'çayağacı', 'rolon', 'ayakbakımı', 'spirulina', 'nutriplus']"
YASEMİN 7 7 7 7 5 2 0,@Yasemin87263855,2019-08-30T13:33:05.000Z,#ayakbakımı #sağlık,,,,2,"['ayakbakımı', 'sağlık']"
Sahibe MeLeSS,@LeS3434,2020-05-27T21:30:15.000Z,Evvvet gece #sanalseans öncesi #ayakbakımı ve #oje saati #sahibemeleS #gerçeksahibe #kraliçe #it #itaat #itaatkarköle #köle #kole #köpek #kopek #finansalköle #finansalit #keriz #enayi #sünepe #ucube #alışverişkölem #avmkölesi,,2,3,19,"['sanalseans', 'ayakbakımı', 'oje', 'sahibemeleS', 'gerçeksahibe', 'kraliçe', 'it', 'itaat', 'itaatkarköle', 'köle', 'kole', 'köpek', 'kopek', 'finansalköle', 'finansalit', 'keriz', 'enayi', 'sünepe', 'ucube', 'alışverişkölem', 'avmkölesi']"
YASEMİN 7 7 7 7 5 2 0,@Yasemin87263855,2019-06-19T04:23:49.000Z,"HERKESE GÜNAYDINLAR.
ERSAĞDA ÇARELER TÜKENMEZ :)
AYAK KOKUSUNDAN MUZDARİP OLANLARIN BU 2 Lİ SET KURTARICISI. 
BİLGİ VE ÜCRETSİZ ÜYELİK İÇİN SORULARINIZI SORUN. #ayakbakımı #ayakkabı #bakım #doğal #ersağ #kozmetik",,,,3,"['ayakbakımı', 'ayakkabı', 'bakım', 'doğal', 'ersağ', 'kozmetik']"
ersagclub,@dunya_ersag,2018-03-17T09:13:11.000Z,"https://ersag.com.tr/account.asp?mod=myaccount&sub=edit&action=register2&red=…
Sponsor no;1164257
AYAK KOKUSUNA SON
ERSAG AYAK BAKIM KREMİ  AYAKLARI UZUN SÜRE NEMLENDİRİR ÇATLAKLARI ÖNLER
AERSAG AYAK BAKIM SPREYİ AYAKDAKİ KÖTÜ KOKU OLUŞUMUNU ÖNLEMEYE YARDIMCI OLUR
#AYAKBAKIMI#STERİL#AYAKKOKUSU#ÇATLAKTOPUK#YORGUNAYAKLAR#YORGUNKASLAR#",,,2,,"['AYAKBAKIMI', 'STERİL', 'AYAKKOKUSU', 'ÇATLAKTOPUK', 'YORGUNAYAKLAR', 'YORGUNKASLAR']"
Gezer,@Gezer_Ayakkabi,2021-08-07T18:22:34.000Z,"İnsanın bütün ağırlığının baskısına gün boyu maruz kalan ve dış etkenlerle fazlaca etkileşime giren ayakların sağlığı ve bakımı insan sağlığı için büyük önem taşımaktadır.

#AyakBakımı #SağlıklıAyaklar #gezer #Sağlık #Terlik #Ayakkabı  #saglikliyasam  #GezersenBilirsin",,,2,4,"['AyakBakımı', 'SağlıklıAyaklar', 'gezer', 'Sağlık', 'Terlik', 'Ayakkabı', 'saglikliyasam', 'GezersenBilirsin']"
Fulya Ayak Cerrahisi,@FulyaAyak,2018-06-14T13:43:00.000Z,"Tırnaklardaki anormal bir değişim bazen akciğer veya kalple ilgili bir hastalığın habercisi olabilir. Bu süreçlerin multidisipliner bir ekip tarafından gözlemlenmesi ve araştırılması teşhis açısıdan çok kritik bir konudur.
#Ayak #Ayakbakımı #FulyaAyakCerrahisiMerkezi #Ayaksağlığı",,,,1,"['Ayak', 'Ayakbakımı', 'FulyaAyakCerrahisiMerkezi', 'Ayaksağlığı']"
Balmy,@BalmyNaturel,2018-12-14T07:05:35.000Z,"Kuru ve çatlak topuk görünümünden kurtulmak için, ayaklarınızı Vlamor'un Volkanik Ponza Taşı ile rahatlatabilirsiniz. Ürünlerimize marketlerden ve kişisel bakım mağazalarından ulaşabilirsiniz.
#vlamor #ayakbakımı #ciltbakımı #kişiselbakım",,,,1,"['vlamor', 'ayakbakımı', 'ciltbakımı', 'kişiselbakım']"
Selesta Life Kozmetik,@selestakozmetik,2018-05-09T10:46:19.000Z,"""Selesta Pharma Bitkisel Ayak Bakım Ürünleri"" ile Ayaklarınızın İhtiyacı Olan Bakımı Sağlayın!
http://bit.ly/2nHIVv7
#bitkisel #dogal #ayakbakimi #selestalife #selestapharma #selestastore",,,,,"['bitkisel', 'dogal', 'ayakbakimi', 'selestalife', 'selestapharma', 'selestastore']"
