username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Gomesopotamia,@gomesopotamia,2021-08-05T12:29:26.000Z,#Kilis  Aynönü Kasteli’ne gelen su yolu Hacı Ahmet Efendi adında bir hayırsever tarafından açtırılmış ancak kendisinin ölmesi üzerine çeşme 1807 tarihinde dostları tarafından yaptırılmıştır #mezopotamya #seyahat #türkiye #gezi #keşfet #tarih #fotograf,"Gomesopotamia
@gomesopotamia
 · Aug 5
The waterway to #Kilis  Aynönü Castel was diched by a philanthropist named Hacı Ahmet Efendi, but upon her death, the fountain was built by her friends in 1807 #mesopotamia #travel #visit #discover #streetphotography",,3,10,"['Kilis', 'mezopotamya', 'seyahat', 'türkiye', 'gezi', 'keşfet', 'tarih', 'fotograf']"
Ali Osman Ulusoy Turizm,@aliosman_ulusoy,2021-08-09T11:48:39.000Z,"Mutlu haftalar dileriz 

#aliosmanulusoy #seyahat",,1,,3,"['aliosmanulusoy', 'seyahat']"
Ahmet Ebcim,@romabileti,2021-08-07T19:20:49.000Z,"Roma'ya 85 km. mesafede Sermoneta ve Cori kasabalarından 4 kare.
#gezi #seyahat",,,1,9,"['gezi', 'seyahat']"
Gomesopotamia,@gomesopotamia,2021-08-08T17:09:09.000Z,Hz. İsa’nın iki havarisinin adına yapılmasından dolayı özgün adı Aziz Petrus ve Aziz Paulus Kilisesi’dir. Halk arasında Reji olarak adlandırılmasının sebebi kilisenin 1924 yılında Tekel İdaresi tarafından tütün fabrikası olarak kullanılmasıdır #şanlıurfa #mezopotamya #seyahat,"Gomesopotamia
@gomesopotamia
 · Aug 8
Because it was built in the name of the two apostles of Jesus, its original name is St. Peter and St. Paulus Church. The reason why it is called Reji among people is that the church was used as a tobacco factory by the Monopoly Administration in 1924 #şanlıurfa #mesopotamia",,5,9,"['şanlıurfa', 'mezopotamya', 'seyahat']"
Ferhat Boratav,@ferhatboratav,2021-08-10T19:28:36.000Z,"#İngiltere Sağlık Bakanı'na, #COVID19 #seyahat kısıtlamaları konusunda ""neden Hindistan'ın sarı, Türkiye'nin #kırmızı listede olduğu"" soruluyor.
@grantshapps
'ın saydığı kriterler arasında, #pandemi verilerini 
@GISAID
 veritabanına sağlıklı yüklemek de var.","Ranvir Quizzes Transport Secretary Why India Has Moved Off Travel Red...
Transport Secretary Grant Shapps says people can travel without 'looking over their shoulders' for the next three weeks as countries will not move lists 'unl...
youtube.com",1,1,3,"['İngiltere', 'COVID19', 'seyahat', 'kırmızı', 'pandemi']"
Avrupa Rüyası,@avruparuyasi,2021-08-10T09:45:27.000Z,"En büyük tutkusu gezmek olanların hastalığına sahip kişilere bilim yaptığı araştırmada DRD47R yani “Yolculuk Tutkusu Geni” diyor

Kimlerde yolculuk tutkusu var bakalım? Elleri görelim

#avruparuyasi #seyahat #tatil",,,,3,"['avruparuyasi', 'seyahat', 'tatil']"
Biletall,@biletall,2021-08-12T14:53:15.000Z,"Dünyanın en güzel yol ayrımı… Bizce hala çok güzel

Muğla’nın, Marmaris’in, Antalya’nın her köşesi hala hayranlık uyandırıyor. Yeniden uyanmak ve yaşamına daha güzel devam etmek için, bu yol ayrımları bizi bekliyor

#biletall #Marmaris #datca #antalya #yol #rota #seyahat",,,,3,"['biletall', 'Marmaris', 'datca', 'antalya', 'yol', 'rota', 'seyahat']"
Seyahat Bursu,@seyahatbursu,2021-08-06T07:53:45.000Z,"Finalisterimiz belli oldu. https://seyahatbursu.com/2021/08/06/seyahat-bursu-2021-finalistleri-belli-oldu/…. Bu yılın kazananı; And Akman, Onurcan Çakır ve 2020 bursiyerimiz Deniz Oskay'dan oluşan jürimize yapacakları online sunumların ardından belli olacak.  #seyahat #daimainovasyon #seyahatbursu2021",,,,1,"['seyahat', 'daimainovasyon', 'seyahatbursu2021']"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-08-06T09:21:44.000Z,"Bize sormadan  sigorta yaptırmayınız! En uygun fiyatlarla teklifinizi alınız.
#kasko #bes #trafik #sigorta #gaziantep #şahinbey #şehitkamil #sağlık #dask #inşaat #ferdikaza #nakliyat #tarım #işyeri #tarım #konut #seyahat #cepkasko",,,,,"['kasko', 'bes', 'trafik', 'sigorta', 'gaziantep', 'şahinbey', 'şehitkamil', 'sağlık', 'dask', 'inşaat', 'ferdikaza', 'nakliyat', 'tarım', 'işyeri', 'tarım', 'konut', 'seyahat', 'cepkasko']"
Hasan Burak DURMUŞ,@HaBuDur,2021-08-05T14:15:01.000Z,"Uçsuz bocaksız ovada bisiklet sürmek...
#bisikletliseyyah #salcano #seyahat",,,,1,"['bisikletliseyyah', 'salcano', 'seyahat']"
Monet,@aynursenguder,2021-08-05T12:56:35.000Z,"İSTANBUL-BURSA arası veya BURSA üzerinden özel aracıyla seyahat yapacaklar lütfen #boncuk u ailesine kavuşturmak için yardımcı olur musunuz?
RT desteği lütfen
#İstanbul #bursa #seyahat","handan taş
@HandanTa
 · Aug 5
Arkadaşlar BONCUK'A YUVA BULDUMİSTANBUL/BURSA Arasi nakil arıyorum,yavrumu BURSA'ya yeni ailesine teslim edecek birileri var mı? İSTANBUL'DAN BURSA'YA GİDECEK TANİDİKLARİNİZ VAR Mİ LÜTFEN  çok  çok mutluyumLÜTFEN RT ACİL
@GERCKDOSTLAR @GNLZEYTNC @kediipatisi @olginaaa",,1,1,"['boncuk', 'İstanbul', 'bursa', 'seyahat']"
fısıldayan kitaplar,@fisildayankitap,2021-08-07T11:07:46.000Z,#kitap #alıntı  #kitapoku #seyahat #tatil #gezi  #kitapokuyorum #sabahattinali #kitapönerisi #kitapalıntıları #kitapal #kitaptavsiyesi #kitapokumak #kitapkurdu #kitapaşkı #kitapyorumu #kitapkahve #kitaplayasamak #kitapbaz #kitapayracı #kitapalışverişi #kitapçı #kitapkulübü,,,1,14,"['kitap', 'alıntı', 'kitapoku', 'seyahat', 'tatil', 'gezi', 'kitapokuyorum', 'sabahattinali', 'kitapönerisi', 'kitapalıntıları', 'kitapal', 'kitaptavsiyesi', 'kitapokumak', 'kitapkurdu', 'kitapaşkı', 'kitapyorumu', 'kitapkahve', 'kitaplayasamak', 'kitapbaz', 'kitapayracı', 'kitapalışverişi', 'kitapçı', 'kitapkulübü']"
𝐓𝐫𝐚𝐯𝐞𝐥 𝐏𝐨𝐫𝐭,@vizeport,2021-08-06T07:18:36.000Z," DUYURU
#Duyuru #Yunanistan #Vize #Seyahat #Travel #Gezi #YunanistanVizesi https://instagram.com/p/CSOWukbI-Kq/?utm_medium=twitter…",,,,1,"['Duyuru', 'Yunanistan', 'Vize', 'Seyahat', 'Travel', 'Gezi', 'YunanistanVizesi']"
eBrandManagement,@e_brandmanage,2021-08-13T14:09:47.000Z,"Y ve Z kuşağı, seyahat ve sosyal aktivitelere harcamalarını artırıyor. 
#ykuşağı #zkuşağı #seyahat #aktivite #iletişim #pazarlama #marka #ebrandmanagement #nöromarka #dijital #markadanışmanlığı #emarka #webtasarımı #sosyalmedya",,,,,"['ykuşağı', 'zkuşağı', 'seyahat', 'aktivite', 'iletişim', 'pazarlama', 'marka', 'ebrandmanagement', 'nöromarka', 'dijital', 'markadanışmanlığı', 'emarka', 'webtasarımı', 'sosyalmedya']"
Umut Dinç,@odysseiadinc,2021-08-13T08:12:24.000Z,"Zamanı kontrol etmek hiçte kolay değil...

It’s difficult to control time...

#Sabancımüzesi #Ankara #Hamamönü #Ankarakalesi #Zaman #Time #Saat #Clock #Travel #travelphotography #Travelocity #Gezi #Seyahat #History #tarih #mekanik #zamanyolcusu #TimeTraveller",,,,1,"['Sabancımüzesi', 'Ankara', 'Hamamönü', 'Ankarakalesi', 'Zaman', 'Time', 'Saat', 'Clock', 'Travel', 'travelphotography', 'Travelocity', 'Gezi', 'Seyahat', 'History', 'tarih', 'mekanik', 'zamanyolcusu', 'TimeTraveller']"
Filmle Gez,@filmlegezz,2021-08-09T15:35:30.000Z,#şavşat #karagöl #seyahat #tatil #gezi #filmlegez,,,,2,"['şavşat', 'karagöl', 'seyahat', 'tatil', 'gezi', 'filmlegez']"
TurizmGünlüğü,@TurizmGunlugu,2021-08-09T14:41:01.000Z," #Seyahat Rehberi: Uzakdoğu’nun Biz’e yakın ülkesi…
#Uzakdoğu #Uzakdoğuturları #gezirehberi #seyahatönerileri","Uzakdoğu'nun Biz'e yakın ülkesi... - Turizm Günlüğü
Uzakdoğu’nun Türklere yakın ülkesi Güney Kore hakkında konaklamadan ulaşıma, yemeklerden gezilecek yerlere seyahat önerileri...
turizmgunlugu.com",,,,"['Seyahat', 'Uzakdoğu', 'Uzakdoğuturları', 'gezirehberi', 'seyahatönerileri']"
