username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
S' MeRvE,@parazil22,2021-08-11T04:36:16.000Z,"Gözlerde derman yok ama, duaların gücüne inanmış yürek var.. #hastane ",,,,5,['hastane']
Beykent Üniversitesi Hastanesi,@BeykentHastane,2021-08-05T15:00:13.000Z,"Uzm. Dr. Fatih Akyazıcı, Hastanemiz Kardiyoloji Bölümünde hasta kabulüne başlamıştır.

#BeykentÜniversitesiHastanesi #Kardiyoloji #Hastane #Sağlık #Beykent",,,2,2,"['BeykentÜniversitesiHastanesi', 'Kardiyoloji', 'Hastane', 'Sağlık', 'Beykent']"
Gülay,@han_akm,2021-08-05T15:51:19.000Z,"Yer Birecik devlet hastanesi: 
9 sağlık çalışanı darp ediliyor.
Yaralılar var.
Hastaneye giriş çıkışlar kapatılmış durumda. Yazıklar olsun. 


#SağlıkÇalışanları 
#hastane
#SağlıktaŞiddetVarBakanYok",,,1,3,"['SağlıkÇalışanları', 'hastane', 'SağlıktaŞiddetVarBakanYok']"
objektif press,@objektif_press,2021-08-05T13:20:01.000Z,"Şanlıurfa'da hastanede maske kavgası: Yaralılar var
http://objektifpress.com/sanliurfada-hastanede-maske-kavgasi-yaralilar-var-75574.html…

#objektifpress #sondakika #şanlıurfa #birecik #hastane #maske #kavga",,,1,2,"['objektifpress', 'sondakika', 'şanlıurfa', 'birecik', 'hastane', 'maske', 'kavga']"
Güngören Hastanesi,@gungorenhastane,2021-08-05T12:30:27.000Z,"Sn. Fahrettin Koca uyarıyor. Aşılanmalar tüm hızıyla devam ediyor. Aşı randevusu oluşturabilir, hastanemizde Covid-19 aşınızı yaptırabilirsiniz.

#güngörenhastanesi #sağlık #hastalık #hastane",,,,,"['güngörenhastanesi', 'sağlık', 'hastalık', 'hastane']"
Medicabil Hastanesi,@Medicabil,2021-08-07T11:16:13.000Z,"Evde bakım merkezi, karantina sürecinde de ihtiyaçlarınıza yönelik 7 gün 24 saat tüm sağlık hizmetlerini evinizde uygulamaktadır.

#evdebakım #medicabilevdebakım #sağlık #pandemi #sokağaçıkmayasağı #hastane #randevu #özelmedicabilhastanesi",,,,1,"['evdebakım', 'medicabilevdebakım', 'sağlık', 'pandemi', 'sokağaçıkmayasağı', 'hastane', 'randevu', 'özelmedicabilhastanesi']"
MCBÜ,@bayaredutr,2021-08-11T07:02:26.000Z,"Hafsa Sultan Hastanemiz TPN Ünitemizin Açılış Töreni
Tarih: 11 Ağustos 2021, Çarşamba
Saat: 16:30
Yer: MCÜ Hafsa Sultan Hastanesi Başhekimliği

#mcbü #ManisaCelalBayarÜniversitesi #hafsasultanhastanesi #tpnünitesi #açılış #açılıştöreni #hastane",,,,3,"['mcbü', 'ManisaCelalBayarÜniversitesi', 'hafsasultanhastanesi', 'tpnünitesi', 'açılış', 'açılıştöreni', 'hastane']"
pediamania,@pediamania,2021-08-12T11:38:19.000Z,Histerik meslektaşla çalışmakta en zoru sanırım.. #hastane,,,,,['hastane']
GALATASARAYLI Cimbomlu Efekizi_09 1905,,2021-08-10T07:24:31.000Z,Hastanenin kahvesi çok güzel #tongeren #hastane #kontroller  #günaydin,,,,5,"['tongeren', 'hastane', 'kontroller', 'günaydin']"
Dakbilir,@Dakbilircom,2021-08-10T07:03:33.000Z,"Medikal Sakatlık

#medikal #hasta #hastane #doktor #sağlık #trafik #kaza #hız #trafikkazası #dask #kaza #araç #araba  #trafiksigorta #trafik #sigortaacentesi #trafikkazası #işkazası",,,4,11,"['medikal', 'hasta', 'hastane', 'doktor', 'sağlık', 'trafik', 'kaza', 'hız', 'trafikkazası', 'dask', 'kaza', 'araç', 'araba', 'trafiksigorta', 'trafik', 'sigortaacentesi', 'trafikkazası', 'işkazası']"
Güngören Hastanesi,@gungorenhastane,2021-08-07T12:00:39.000Z,"Aşılama yöntemi ile bebek özleminiz son bulsun. 

Detaylı bilgi için iletişime geçebilirsiniz. 0212 461 91 91

#güngörenhastanesi #sağlık #hastalık #hastane",,,,,"['güngörenhastanesi', 'sağlık', 'hastalık', 'hastane']"
Mixta Medical,@mixtamedical,2021-08-12T09:17:50.000Z,"Sehpalar sadece salonlarda değil steril olması gereken ortamlarda da kullanılır. Cerrahi sehpalı küvetler paslanmaz çelik ve kullanıcı dostu özellikleriyle Mixta'da.

#Mixta #medikal #cerrahi #sehpa #küvet #paslanmazçelik #hastane #steril #ekipman",,,,,"['Mixta', 'medikal', 'cerrahi', 'sehpa', 'küvet', 'paslanmazçelik', 'hastane', 'steril', 'ekipman']"
Dr. Mahmut KOÇAK,@drmahmutkocak,2021-08-11T17:03:39.000Z,"#afyonkarahisar , @fertillifehastanesi  @cevre_fertillife 
@fertillife
.eskisehir , Yönetim Kurulu Üyesi olarak vatandaşlarımıza daha kaliteli sağlık hizmeti sunmak İçin bismillah dedik. Gayret bizden başarı Allahtan.  
@drfatihoguc
 
#hastane #tüpbebek #kadınhastalıklarıvedoğum",,,,1,"['afyonkarahisar', 'hastane', 'tüpbebek', 'kadınhastalıklarıvedoğum']"
