username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Bad Bitch Alert,@beautyinbre,2021-08-10T23:17:33.000Z,"High asf watching the 
@85SouthShow
 #yurt","0:16
4.3K views",,5,56,['yurt']
Hammond Hill,@HammondHill_ca,2021-08-06T16:45:00.000Z,A scenic picture of the first #yurt being built today!,,,,4,['yurt']
St.Ailbes LGFCC,@StAilbes,2021-08-06T18:20:03.000Z,Waterbreak in Caherelly. 1-02 to no score in Ailbes favour #yurt,,,,1,['yurt']
Barry Ryan,@rynoace,2021-08-07T16:56:23.000Z,I’m up the Vee in Tipperary bordering Waterford to watch the limerick match because my reception is bad in the campsite  where there’s a will there’s a way #limerick #yurt,,,,5,"['limerick', 'yurt']"
The Wensleydale Experience,@wensleydale_exp,2021-08-12T10:29:34.000Z,"We have some VERY SPECIAL VISITORS to our #yurt site today - creating something rather lovely that will air in a few months’ time! 
@RuralRBAs
 #rural #countryside #ruralbusinessawards #glamping #landscape #ruralbusiness",,,4,11,"['yurt', 'rural', 'countryside', 'ruralbusinessawards', 'glamping', 'landscape', 'ruralbusiness']"
Youth Spirit Artworks,@YouthSpiritArts,2021-08-12T03:01:56.000Z,"Thank you to brilliant Rev. Alan Laird for adding a mud cloth border to our labyrinth at our Tine House Empowerment Village.

#mudclothborder #labyrinth #TinyHouse #Empowerment #Village #youthtinyhousevillage #tinyhousevillage #tinyhouses #housing #yurt #garden #planterboxes #art",,,2,4,"['mudclothborder', 'labyrinth', 'TinyHouse', 'Empowerment', 'Village', 'youthtinyhousevillage', 'tinyhousevillage', 'tinyhouses', 'housing', 'yurt', 'garden', 'planterboxes', 'art']"
Crissy,@Criss_Chi,2021-08-08T15:18:32.000Z,Found this old decrepit yurt in LBL yesterday. #yurt #lbl #thingsforgotten #landbetweenthelakes https://instagram.com/p/CSUXPo9LQm0/?utm_medium=twitter…,,,,,"['yurt', 'lbl', 'thingsforgotten', 'landbetweenthelakes']"
Youthall,@youthallcom,2021-08-07T11:07:39.000Z,"Yaz ayları birçok öğrenci için üniversiteye yerleşme sürecini ifade eder. Yurtta ve öğrenci evinde kalmanın bazı artı ve eksileri vardır. Bu artı ve eksileri öğrenmek istiyorsanız: https://ythl.co/2X6uDuY 

#Youthall #Blog #Yurt #OgrenciEvi",,,,2,"['Youthall', 'Blog', 'Yurt', 'OgrenciEvi']"
sophie'nin seçimi,@hep_uzak,2021-08-10T08:59:09.000Z,"ağaçların dalına tüneyen kuşlar, geride onları gözetleyen bir kedi,
bu bahçe, bu ışkın, bu coşku içindeki devinim söyleyin bana çoçukluğun rüzgara kapılmış sesini siz de duyuyor musunuz? 
#ağaç #yurt","0:09
127 views",,,2,"['ağaç', 'yurt']"
Hakan Akdoğan,@HakanAkdoganTR,2021-08-06T17:00:54.000Z,"NTV öğle haber bültenine telefon bağlantısı yaparak, öğrencileri yakından ilgilendiren yurt ve ev kiralarının artış sebepleri hakkında görüşlerimi paylaştım.

#ntv #ev #yurt #kira #emlak #emlakdanışmanı #öncüstk #TÜGEM",,,,1,"['ntv', 'ev', 'yurt', 'kira', 'emlak', 'emlakdanışmanı', 'öncüstk', 'TÜGEM']"
Yeni Dünya Vakfı | Bursa,@bursaydv,2021-08-05T17:48:45.000Z,"Şimdi tercih zamanı...
Bursa Üniversitelerini tercih noktasında artınız; evinizi aratmayacak yurdunuz hazır...
Yıldırım ilçesinde..
@BursaTeknikUni
 ne yürüyüş mesafesinde...
@uludagkurumsal
 ulaşım aksında... 
#tercih2021 #Üniversite
#yurt
#Bursayurt #Bursa
553 862 60 16",Yeni Dünya Vakfı and 7 others,,1,6,"['tercih2021', 'Üniversite', 'yurt', 'Bursayurt', 'Bursa']"
TDV Adana Yurdu,@AdanaTdv,2021-08-05T20:40:26.000Z,"İyi bir gelecek için buradayız 

TDV Adana Yükseköğretim kız yurdumuzun 2021-2022 Eğitim/Öğretim yılı kayıtları başlamıştır.. Bilgi almak için bizi arayabilirsiniz 

Telefon : 0549 839 69 62

#adana #EğitimİleDeğişirDünya #yurt #SıcakBirYuva #türkiyediyanetvakfı
@ihsanaciktr",,,,1,"['adana', 'EğitimİleDeğişirDünya', 'yurt', 'SıcakBirYuva', 'türkiyediyanetvakfı']"
türksilahlıkuvvetlerieğitimvakfi,@tskegitimvakfi,2021-08-13T07:46:48.000Z,"TSK Eğitim Vakfı olarak, kahramanlarımızın emaneti binlerce evladımıza yurtlarımızda en ekonomik koşulları en yüksek standartlarda sağlamaya devam ediyoruz. 

Asil Milletimizin Güven ve Desteği ile 
.
.
.
#tskev #tskeğitimvakfı #yurt #öğrenci #üniversite #tsk #yurtimkanı",,,1,3,"['tskev', 'tskeğitimvakfı', 'yurt', 'öğrenci', 'üniversite', 'tsk', 'yurtimkanı']"
Kathy Husser,@kathy_husser,2021-08-12T04:05:33.000Z,#camping #outdoor #travel #vacation #yurt ,"Meagan Wristen
@MeaganWristen
 · Aug 12
Camping at Suttle Lake https://mommytravels.net/camping-at-suttle-lake/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost…",,,,"['camping', 'outdoor', 'travel', 'vacation', 'yurt']"
Piyalepark Kız Öğrenci Yurdu,@piyaleparkyurdu,2021-08-06T06:11:13.000Z,"Sağlığınızı düşündük...
#sağlık #hijyen #yurt #kizyurdu #özelöğrenciyurdu #piyaleparkkızyurdu",,,,,"['sağlık', 'hijyen', 'yurt', 'kizyurdu', 'özelöğrenciyurdu', 'piyaleparkkızyurdu']"
Piyalepark Kız Öğrenci Yurdu,@piyaleparkyurdu,2021-08-06T13:30:29.000Z,"Forumunuzu  düşündük...
#sağlık #hijyen #yurt #kizyurdu #özelöğrenciyurdu #piyaleparkkızyurdu #üniversite #eğitim #education #tercih #i̇stanbul #beyoğlu",,,,,"['sağlık', 'hijyen', 'yurt', 'kizyurdu', 'özelöğrenciyurdu', 'piyaleparkkızyurdu', 'üniversite', 'eğitim', 'education', 'tercih', 'i', 'beyoğlu']"
Piyalepark Kız Öğrenci Yurdu,@piyaleparkyurdu,2021-08-12T08:22:06.000Z,#Üniversite #yurtözel #yurt #piyalepark,,,,,"['Üniversite', 'yurtözel', 'yurt', 'piyalepark']"
@Aksaçlı (–.– – ...-.) Mors_Alfabesi,@Aksaçlı (–.– – ...-.) Mors_Alfabesi,2021-08-11T04:13:25.000Z,"#yonga yıllardır uyuduğun,uyku yetmedi mi? #mdf #zam #tedarik sıkıntısı var #yurt dışına #ihracat tam kapasite #bu sene bir hareket yap artık  #yonga #orma ormanın kralları ",,,,3,"['yonga', 'mdf', 'zam', 'tedarik', 'yurt', 'ihracat', 'bu', 'yonga', 'orma']"
Burak,@lburaktemell,2021-08-07T17:28:34.000Z,"@KYK_DESTEK
 geçiçi maddeye göre yönetmelik yürürlük tarihinden öncesi için nasıl olucak acaba ? #kyk #yurt",,2,,,"['kyk', 'yurt']"
My Dome Academic,@MyDomeAR,2021-08-11T06:03:05.000Z,"Çantanı Al Gel
#atlasunv #beü #beykentüniversitesi #istanbulyurt #itü #ışıküniversitesi #kizögrenciyurdu #kizyurdu #kızyurdu #kızyurduistanbul #konaklama #mefüniversitesi #mydome #nişantaşıüniversitesi #senyeterkiiste #yıldızüniversitesi #yurt",,,,,"['atlasunv', 'beü', 'beykentüniversitesi', 'istanbulyurt', 'itü', 'ışıküniversitesi', 'kizögrenciyurdu', 'kizyurdu', 'kızyurdu', 'kızyurduistanbul', 'konaklama', 'mefüniversitesi', 'mydome', 'nişantaşıüniversitesi', 'senyeterkiiste', 'yıldızüniversitesi', 'yurt']"
gül,@telepatikgg,2021-08-05T17:16:50.000Z,"CEHENNEM https://aksamhaberleri.com.tr/cehennem-makale,1225.html… 
@adapazariaksam
 aracılığıyla
#prefabrik #alev #patlama #duman #zehir #hatıra #elemeği #yangın #enkaz #yıkık #kara #köz #Marmaris #Datça #yol #gökyüzü #su #ağaç #huzur #yeşil #dünya #yurt #gözyaşı #hayvan #çare #Bodrum #Muğla #Manavgat #Antalya","Gül Gökdemir - CEHENNEM
1999 Marmara depreminden sonra prefabrik konutlarda yaşadık yıllarca. Bizim konut da alev alev yanmıştı. Ondan beri arada bir duman kokusu alır burnum. Ailemin sağlığından emin olduktan sonra ki...
aksamhaberleri.com.tr",,,,"['prefabrik', 'alev', 'patlama', 'duman', 'zehir', 'hatıra', 'elemeği', 'yangın', 'enkaz', 'yıkık', 'kara', 'köz', 'Marmaris', 'Datça', 'yol', 'gökyüzü', 'su', 'ağaç', 'huzur', 'yeşil', 'dünya', 'yurt', 'gözyaşı', 'hayvan', 'çare', 'Bodrum', 'Muğla', 'Manavgat', 'Antalya']"
Emekmahallesi,@emekmahallesi06,2021-08-09T21:40:36.000Z,"islam  aleminin son karakolu, #mehmetçiğin  canını dişine takıp beklediği son #yurt",,,,,"['mehmetçiğin', 'yurt']"
TDV Isparta Erkek Yurdu,@tdvispartaerkek,2021-08-11T08:54:39.000Z,"Ön kayıtlarımız devam etmektedir, 

Aşağıdaki linkten sizde kaydınızı yapabilirsiniz

https://pdks-test.tdvyurt.com.tr/basvuru.aspx
@tdvyurtlar
#ısparta #EğitimİleDeğişirDünya #yurt #öğrenci #SıcakBirYuva #türkiyediyanetvakfı",,,,,"['ısparta', 'EğitimİleDeğişirDünya', 'yurt', 'öğrenci', 'SıcakBirYuva', 'türkiyediyanetvakfı']"
sosyalyorumcuk,@sosyalyorumcuk,2021-08-09T07:08:10.000Z,"@KYK_DESTEK
 @GSB_KYGM
 @kasapoglu
 Bu iddia ciddi.

Şeffaf bir açıklama yapılacak mı? #Karabük #kyk #yurt #üniversite 
@KarabukValiligi","MemurlarNet
@memurlarnet
 · Aug 9
6 yıl önce 60 milyon liraya yapılan yurt, 32 milyona satışa çıkartıldı https://memur.link/2t73",,,,"['Karabük', 'kyk', 'yurt', 'üniversite']"
TDV Isparta Erkek Yurdu,@tdvispartaerkek,2021-08-09T15:03:46.000Z,"İyi bir gelecek için buradayız 

TDV Isparta Yükseköğretim Erkek Yurdumuzun 2021-2022 Eğitim/Öğretim yılı kayıtları başlamıştır

 Ön Kayıt Başvuru Linki

https://pdks-test.tdvyurt.com.tr/basvuru.aspx
@tdvyurtlar
#ısparta #EğitimİleDeğişirDünya #yurt #öğrenci #SıcakBirYuva #türkiyediyanetvakfı",,,,,"['ısparta', 'EğitimİleDeğişirDünya', 'yurt', 'öğrenci', 'SıcakBirYuva', 'türkiyediyanetvakfı']"
