username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
zsa,@astrosanem,2019-10-16T20:43:28.000Z,Offf ne #kort #teniskortu #tennis,,,,1,"['kort', 'teniskortu', 'tennis']"
Game Set Match,@GSM_of_the_day,2015-12-31T15:42:17.000Z,"#GameSetMatchOfTheDay repost Instagram 
@yalcingokalp
 ・・・
#tenisiseveriz #teniskortu #den… http://ift.tt/1R0AaZ6",,,,,"['GameSetMatchOfTheDay', 'tenisiseveriz', 'teniskortu', 'den']"
Atil Ulas Bengi,@atilulas,2017-04-17T14:56:06.000Z,"Season opening.
#tennis #wilsontrainer #babolat #wilson #kusadasi #kuşadası #tenis #teniskortu @… https://instagram.com/p/BS_Zd6uFBZb/",,,,1,"['tennis', 'wilsontrainer', 'babolat', 'wilson', 'kusadasi', 'kuşadası', 'tenis', 'teniskortu']"
Timur Bayramov,@timur_bayramov,2015-06-06T11:53:27.000Z,"Güzel bir başlangıç :) ○○●○○●○○●○○●○○
#teniskortu",,,,1,['teniskortu']
urla-klazomenai,@diravworld,2018-07-17T18:23:50.000Z,"#istanbul  #ankara #izmir #urla #itokent #kiralık #eşyalı #villa #havuz #bahçe #doğa #manzara  #SosyalTesis #TenisKortu 7+2 eşyalı kiralık villa #BedellideYas25Bedel15 http://klazomenai.sahibinden.com    
https://sahibinden.com/ilan/emlak-konut-kiralik-urla-itokent-te-7-plus2-esyali-ultra-lux-villa-585528830/detay/…",,,,3,"['istanbul', 'ankara', 'izmir', 'urla', 'itokent', 'kiralık', 'eşyalı', 'villa', 'havuz', 'bahçe', 'doğa', 'manzara', 'SosyalTesis', 'TenisKortu', 'BedellideYas25Bedel15']"
Pazarcık Gençlik Merkezi,@GSB_PazarcikGM,2019-10-27T10:49:31.000Z,"Pazarcık Gençlik Merkezi:
#MerkezimdeHaftaSonu yine dolu dolu...
#Baglama
#AkılVeZekaOyunları
#Badminton
#TenisKortu
#Gitar
#Jimnastik
#PazarcıkGenclikMerkezi",Dr. Mehmet Kasapoğlu and 4 others,,,1,"['MerkezimdeHaftaSonu', 'Baglama', 'AkılVeZekaOyunları', 'Badminton', 'TenisKortu', 'Gitar', 'Jimnastik', 'PazarcıkGenclikMerkezi']"
Özkon İnşaat,@ozkoninsaat,2017-12-27T11:33:07.000Z,"Çekişmeli ve eğlenceli tenis maçları için hazırlanın! Garden Liva Tenis kortu ile geliyor!
#teniskortu #gardenliva #yeniizmirinincisi #izmir #torbalı #ayrancılar #özkoninşaat #özelyapılarınmimarı #yılınprojesi #hayatburada",,,1,1,"['teniskortu', 'gardenliva', 'yeniizmirinincisi', 'izmir', 'torbalı', 'ayrancılar', 'özkoninşaat', 'özelyapılarınmimarı', 'yılınprojesi', 'hayatburada']"
Nedim KAPLAN,@nedimkaplan09,2021-02-20T13:05:06.000Z,"AKParti Aydın Milletvekilimiz Sn. 
@rizaposaci
 Gençlik ve Spor İl Mdr Sn Cenap Fillikçioğlu ve Meclis Üyelerimiz ile birlikte. #Yeni çehresine kavuşacak olan İlçe stadyum inşaat çalışmalarını yerinde incelemelerde bulunduk #YürüyüşParkuru #TenisKortu #FitnessAlanları #SoyunmaOdası",,,11,25,"['Yeni', 'YürüyüşParkuru', 'TenisKortu', 'FitnessAlanları', 'SoyunmaOdası']"
İstanbul Gençlik Modeli,@GenclikModeli,2019-09-11T13:55:20.000Z,"Haftasonu Tenis Kortu etkinliği için buluşuyoruz. Haydi sende gel, birlikte eğlenelim

Başvuruları http://genclikmeclisi.istanbul web sayfamızdan yapabilirsin.

#ibb #genclikmeclisi #teniskortu",,,1,2,"['ibb', 'genclikmeclisi', 'teniskortu']"
ÖZBEK SPOR,@ozbek_spor,2020-12-18T08:08:50.000Z,Tenis Sahası Bölme Ağları #tennis #tenniscourt #court #tenis #tenissahası #teniskortu #tennisnet #tenisağı #tenisfilesi,,,,,"['tennis', 'tenniscourt', 'court', 'tenis', 'tenissahası', 'teniskortu', 'tennisnet', 'tenisağı', 'tenisfilesi']"
