username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Prof. Dr. Gürkan ERSOY,@ersoygurkan,2021-08-05T17:51:08.000Z,"Bu eğitime mutlaka katılın.
Neden mi?
Çünkü her zamankinden daha çok ihtiyacımız var .

#afet #ilkyardım #deprem #kaza #sel #tsunami #yaralanma #aciltıp #ambulans #acilservis #acilyardım #eğitim #tıp #sağlık #disaster #injury #ormanyangini",Dokuz Eylül Üniversitesi and Herkese Acil Sağlık,,5,15,"['afet', 'ilkyardım', 'deprem', 'kaza', 'sel', 'tsunami', 'yaralanma', 'aciltıp', 'ambulans', 'acilservis', 'acilyardım', 'eğitim', 'tıp', 'sağlık', 'disaster', 'injury', 'ormanyangini']"
ECSAK,@ecsakAnadolu,2021-08-05T18:45:31.000Z,"Yangınlardan dolayı oluşan ısı kaynaklı yanıklara doğru ilk yardımın yapılması oldukça önemli!

#yangın #muğla #antalya #türkiyeyanıyor #ilkyardım",,,,7,"['yangın', 'muğla', 'antalya', 'türkiyeyanıyor', 'ilkyardım']"
𝙋𝙚𝙡𝙞𝙣,@pelin_gzy,2021-08-07T11:40:47.000Z,"Tüm can severleri bekleriz ⚘
İnstagram @lanaannebali
.
.
#yangın #ilkyardım #acilyardım #hayvanlaryanıyor #hayvan #canlıyayın #birkapsu #birkapmama",,,,1,"['yangın', 'ilkyardım', 'acilyardım', 'hayvanlaryanıyor', 'hayvan', 'canlıyayın', 'birkapsu', 'birkapmama']"
BAKUT,@bakutdernegi,2021-08-09T13:21:17.000Z,"İlk yardım hayat kurtarır!

Aday üyelerimiz BAKUT üyeliği şartlarından biri olan ilk yardım eğitimini tamamladılar. 
@KizilayBursa
 'ya teşekkürlerimizi sunarız.

#ilkyardımeğitimi #ilkyardım #kızılay #afad #bakut",,,1,5,"['ilkyardımeğitimi', 'ilkyardım', 'kızılay', 'afad', 'bakut']"
Bilinen Haberci,@BilinenHaberci,2021-08-05T12:11:19.000Z,"#SağlıkBakanı Koca: Yangından etkilenen bölgelerde, vatandaşlarımıza #ilkyardım kitlerini veriyor, genel #sağlık durumlarını kontrol ediyoruz.",,,,,"['SağlıkBakanı', 'ilkyardım', 'sağlık']"
Medline,@medline4441212,2021-08-08T11:52:58.000Z,"Yanıklarda ilk yardım uygulaması nasıl olmalı, doğru bilinen yanlışlar neler?
Medline Alarm Merkezi Sorumlusu ve İlk Yardım Uzmanı Emre Sinan anlatıyor.

#yangın #yanık #ilkyardım #acil #sağlık #acilsağlık #orman #ormanyangını",,,1,6,"['yangın', 'yanık', 'ilkyardım', 'acil', 'sağlık', 'acilsağlık', 'orman', 'ormanyangını']"
Uzm. Hemş. Özlem Karagöl,@KaragolOzlem,2021-08-10T14:37:56.000Z,#altınbaşüniversitesi #ilkyardım #yardım #sağlık #hayat #yaşam #insan #doğrubilgi #dikkat #doğruolan #türkiye,,,,6,"['altınbaşüniversitesi', 'ilkyardım', 'yardım', 'sağlık', 'hayat', 'yaşam', 'insan', 'doğrubilgi', 'dikkat', 'doğruolan', 'türkiye']"
Tantrona,@tantrona,2021-08-05T06:59:50.000Z,"Çok önemli bir post lüffen kaydedin

Yangın hepimizin istemesek de başına gelebilecek bir durum bilinç ve yeterli bilgiyle en az hasarla can dostlarımızı kurtarabiliriz.

#yangın #ilkmüdahale #hayvan #ilkyardım #candostum",,,,1,"['yangın', 'ilkmüdahale', 'hayvan', 'ilkyardım', 'candostum']"
İMO KOCAELİ,@ImoKocaeli,2021-08-13T07:23:03.000Z,"Depremin Afete Dönüşmesine ENGEL OL.

#imokocaeli #İnşaatMühendisi #CivilEngineer #Tmmob #İnşaatMühendisleriOdası #imo #imo #mühendis #inşaatmühendisi #tmmob #gençİMO #SesimiziDuyanVarMı #17ağustosuunutmadık #17Ağustos1999 #deprem #gölcükdepremi #ilkyardım #Afettenkorunma #AFAD",,,,,"['imokocaeli', 'İnşaatMühendisi', 'CivilEngineer', 'Tmmob', 'İnşaatMühendisleriOdası', 'imo', 'imo', 'mühendis', 'inşaatmühendisi', 'tmmob', 'gençİMO', 'SesimiziDuyanVarMı', '17ağustosuunutmadık', '17Ağustos1999', 'deprem', 'gölcükdepremi', 'ilkyardım', 'Afettenkorunma', 'AFAD']"
iyilikafyonda,@iyilikafyonda,2021-08-05T13:50:09.000Z,"Yangında Hayvanlara İlkyardım    

#MuğlaYANIYOR #Tahliye 
#ilkyardım #hayvanlar #doğa #muğla  #marmaris #yangın #türkiye #yanıyor #yanıyoruz #hayvanlar #orman #sondakika #termiksantral #akyaka #Adana","0:56
252 views",,2,,"['MuğlaYANIYOR', 'Tahliye', 'ilkyardım', 'hayvanlar', 'doğa', 'muğla', 'marmaris', 'yangın', 'türkiye', 'yanıyor', 'yanıyoruz', 'hayvanlar', 'orman', 'sondakika', 'termiksantral', 'akyaka', 'Adana']"
